organization,url
World Baseball Softball Confederation,https://www.wbsc.org/en/organisation/leadership/presidential-council
World Boxing,https://worldboxing.org/about/leadership/
World Boxing,https://worldboxing.org/governance/
World Curling,https://worldcurling.org/about/board/
World Curling,https://worldcurling.org/about/directors/
World Curling,https://worldcurling.org/governance/
World Rowing Federation,https://www.worldrowing.com/about/organisation/governance/council/
World Rowing Federation,https://www.worldrowing.com/about/organisation/
World Sailing,https://www.sailing.org/inside-world-sailing/organisation/governance/organisational-structure/
World Sailing,https://www.sailing.org/inside-world-sailing/organisation/governance/commissions-committees-womens-forum/world-sailing-council/
World Taekwondo,http://www.worldtaekwondo.org/about-wt/council_more17.html
World Triathlon,https://triathlon.org/about/executive-board
World Triathlon,https://triathlon.org/governance
Asia/Pacific Group on Money Laundering,https://www.apgml.org/about-us/co-chairs
Asia/Pacific Group on Money Laundering,https://www.apgml.org/about-us/secretariat
Asia/Pacific Group on Money Laundering,https://www.apgml.org/about-us/governance-committee
Basel Committee on Banking Supervision,https://www.bis.org/bcbs/organ_and_gov.htm
Basel Committee on Banking Supervision,https://www.bis.org/bcbs/membership.htm
